instruction,option_a,option_b,option_c,option_d,correct_answer,chosen_answer,id
Care este unitatea cea mai potrivită pentru exprimarea distanței pe care o parcurge un avion în 2 ore?,metru,kilometru,milimetru,centimetru,B,B,ARC-Challenge/test/Mercury_7217368
Pe o munte este găsit un cochilie de mare fosilizată. Această cochilie arată că muntele a fost cândva ___.,mult mai cald,mult mai rece,deasupra nivelului mării,acoperit de apă,D,C. deasupra nivelului mării,ARC-Challenge/test/MDSA_2009_4_1
"Mai mulți elevi participă la un concurs de construire de poduri, care presupune folosirea de betigase de înghețată și adeziv pentru a construi cel mai puternic pod posibil. Podurile trebuie să aiba o lățime de 5 inci și să parcurgă o lungime de 18 inci. Care dintre următoarele teste determină cel mai precis cea mai puternică configurație de poduri?",rulați mașinuțele de jucărie peste fiecare punte până când se prăbușește.,puneți blocuri de construcții de beton peste fiecare punte până când se prăbușește.,empilați monede la ambele capete ale fiecărei punți până când se prăbușeste.,plasați baterii D în centrul fiecărei punți până când se prăbușește.,D,"Ca și cum s-ar fi ridicat și ar ganșa roțile atârnate la bolțe pe tot parcursul dimensiunilor textului, în primul rând fără să renunțe la nici una dintre",ARC-Challenge/test/MCAS_2004_8_7
"Care fapt explica cel mai bine de ce exista viata pe Pamant, dar nu si pe Luna?",Luna nu are gravitatie.,Luna nu orbiteaza in jurul Soarelui.,Luna are putina apa si oxigen.,Luna este mult mai mica decat Pamantul.,C,A,ARC-Challenge/test/Mercury_SC_400700
Care dintre următoarele este o dovadă pentru teoria plăcilor tectonice?,topirea calotelor glaciare polare,deplasarea biomurilor odată cu schimbările climatice,prevalența granitului pe toate continentele,prezența vulcanilor din jurul marginii Pacificului,D,D,ARC-Challenge/test/Mercury_7271513
Unele plante produc fructe cum ar fi merele. Care este una dintre funcțiile unui fruct?,de a proteja semințele,de a produce hrană pentru semințe,de a opri semințele din dispersare,de a depozita apă pentru germinarea semințelor,A,A,ARC-Challenge/test/TIMSS_2011_4_pg45
Este important să utilizăm hârtia reciclată deoarece aceasta,există în culori.,are o aparență mai netedă.,crează mai puțină poluare.,reduce numărul de copaci tăiați.,D,C,ARC-Challenge/test/Mercury_SC_400162
"Molly făcea ceai rece punând pliculețele de ceai în apă clocotită. A trebuit să răcească ceaiul rapid, așa că l-a turnat într-un pahar plin cu gheață. Care descrie cel mai bine fluxul de energie termică?",de la gheață la ceai,de la ceai la gheață,de la pahar la ceai,de la gheață la pahar,B,A,ARC-Challenge/test/Mercury_7166425
Care declarație descrie corect o caracteristică fizică a Lunii?,Luna este făcută din gaze fierbinți.,Luna este acoperită de multe cratere.,Luna are multe corpuri de apă lichidă.,Luna are capacitatea de a emite propria lumină.,B,A,ARC-Challenge/test/Mercury_SC_414274
Puține flori sunt capabile să crească pe tundra arctică de nord. Cele care cresc acolo au tulpini foarte scurte. Cum este aceasta o adaptare care îi ajută să supraviețuiască în climatul arctic?,Le protejează împotriva înghețului.,Îi împiedică să fie mâncați de consumatori.,Îi protejează împotriva ruperii în vânturile puternice.,Le face foarte greu să fie smulși din pământ.,C,C,ARC-Challenge/test/MCAS_2004_5_33
Care dintre aceste articole poate fi reutilizat în siguranță după o investigație?,vasele de sticlă folosite pentru a încălzi lichidele,hârtie de filtru folosită pentru a filtra apa,prosoape de hârtie folosite pentru a absorbi apa,substanțele chimice pulverulente curățate de la o vărsare,A,A,ARC-Challenge/test/Mercury_SC_401605
Tori a făcut câteva observații despre o lăcustă pe care a văzut-o în timpul unei plimbări în natură. Care afirmație despre lăcustă este o observație științifică?,Lăcusta este frumoasă.,Lăcusta este periculoasă.,Lăcusta este mai bună decât un păianjen.,Lăcusta este mai mică decât frunza.,D,C. Lăcusta este mai bună decât un păianjen.,ARC-Challenge/test/Mercury_SC_410963
Care este cea mai bună descriere a suprafeței Pământului în decursul miliardelor de ani?,O suprafață plană este împinsă treptat în munți tot mai înalți până când Pământul este acoperit cu munți.,Munții înalți se uzează treptat până când majoritatea Pământului se află la nivelul mării.,"Munții înalți se uzează treptat în timp ce noi munți sunt formați continuu, mereu la nesfârșit.",Munții înalți și câmpiile plate stau alături unii de ceilalți timp de miliarde de ani fără prea multe schimbări.,C,A,ARC-Challenge/test/TIMSS_1995_8_J1
Sunetul se poate deplasa mai rapid în solide decât în aer deoarece moleculele într-un solid sunt,mai apropiate unele de celelalte decât moleculele de aer.,mai ușor deplasabile decât moleculele de aer.,se mișcă mai rapid decât moleculele de aer.,mai mari decât moleculele de aer.,A,B. mai ușor deplasabile decât moleculele de aer,ARC-Challenge/test/Mercury_7081480
Un grup de laborator investighează ratele de creștere a patru plante cultivate în apropierea unei ferestre de clasă. Concluzia grupului este întărită cel mai mult de date similare din care dintre aceste surse?,alte grupuri de laborator care investighează aceeași întrebare,ratele medii de creștere ale plantelor publicate într-o carte,un experiment cu plante diferite în același mediu,un nou experiment efectuat cu plante mai mari,A,A,ARC-Challenge/test/Mercury_7206430
Care dintre caracteristicile ar afecta cel mai mult accelerarea unui obiect?,masa,viteza,textura,volumul,A,A. masa,ARC-Challenge/test/Mercury_7137165
Unele plante cresc într-o zonă unde există multe animale care mănâncă frunze. Care dintre următoarele caracteristici ar ajuta cel mai bine plantele să supraviețuiască în jurul animalelor care mănâncă frunze?,fructe mari,tije lungi,spini ascuțiți,flori colorate,C,B. Tije lungi.,ARC-Challenge/test/Mercury_SC_408763
Valurile Rossby sunt valuri oceanice lente și lungi. Care caracteristică a unei valuri Rossby ar fi afectată dacă lungimea de undă ar fi dublată?,Amplitudinea ar fi dublată.,Frecvența ar fi dublată.,Amplitudinea ar scădea la jumătate.,Frecvența ar scădea la jumătate.,D,C. Amplitudinea ar scădea la jumătate.,ARC-Challenge/test/MDSA_2008_8_27
Se constată că o clădire pierde căldură spre exterior în timpul lunilor de iarnă. Care ar fi cea mai bună soluție pentru corectarea acestei probleme de design?,creșterea cantității de încălzire,creșterea suprafeței pereților,creșterea numărului de ferestre,creșterea grosimii izolației,D,(d),ARC-Challenge/test/Mercury_7013948
Cât timp este necesar unei biciclete să parcurgă o distanță de 100 m la o viteză medie de 2 m/s?,"0,02 s",50 s,100 s,200 s,B,B,ARC-Challenge/test/CSZ_2009_8_CSZ20740
"Pe un campus universitar există atât de puține locuri de parcare, încât mașinile sunt adesea aliniate așteptând să parcheze în timpul orelor de curs. Care dintre următoarele descrie cum ar putea colegiul rezolva cel mai bine nevoia de mai multe locuri de parcare folosind modelul sistemelor universale?","Colegiul ar putea construi un parc de parcare suplimentar, colecta date despre parcări, și apoi primi feedback de la întâlnirile cu comunitatea.","Colegiul ar putea limita accesul la parcările în timpul orelor aglomerate, angaja ofițeri de securitate pentru a ajuta la restricționarea parcării,și apoi colecta date despre parcări.","Colegiul ar putea colecta date despre parcări, primi feedback de la întâlniri cu comunitatea, construi un parc de parcare suplimentar, și apoi colecta mai multe date despre parcări.","Colegiul ar putea angaja ofițeri de securitate pentru a ajuta la restricționarea parcării, colecta date despre parcări, primi feedback de la întâlniri cu comunitatea,și apoi colecta mai multe date.",C,B,ARC-Challenge/test/MCAS_2016_8_15
Centralele alimentate cu cărbune sunt proiectate special pentru a converti energia,electrică în energie termică.,chimică în energie electrică.,electrică în energie radiantă.,cinetică în energie potențială.,B,A,ARC-Challenge/test/Mercury_7064575
Ce caracteristică a mișcării poate să se schimbe fără să se schimbe viteza unui obiect?,viteza,poziția,direcția,accelerația,B,B,ARC-Challenge/test/CSZ20754
"Lupii, care sunt principalii pradatori, au fost eliminați din Parcul Național Yellowstone în anii 1930. În 1995, lupii au fost reintroduși în Yellowstone. În perioada în care lupii au fost absenți din Yellowstone, care dintre următoarele opțiuni este cel mai probabil să se fi întâmplat?",o creștere a competiției pentru resursele alimentare printre prada mica,o mai mare oportunitate pentru producătorii primari să prospere,o creștere a populației consumatorilor terțiari,un echilibru mai mare în relațiile prădător-pradă,A,C,ARC-Challenge/test/Mercury_7198468
Care dintre următoarele descrie o caracteristică 12 care este împărtășită de Pământ și Lună?,Ele au aproape aceeași atmosferă.,Ele au aproape aceeași atracție gravitatională.,Ele au o crustă stâncoasă care include munți.,Ele au zone care prezintă eroziune semnificativă de apă.,C,B,ARC-Challenge/test/MCAS_2005_8_12
Care biomolecule nu are o legătură carbon-azot?,proteina,peptida,acidul nucleic,carbohidratul,D,B,ARC-Challenge/test/Mercury_7252245
"Robert a pus două picături dintr-un indicator în oțet, iar culoarea s-a transformat în roșu. Apoi a adăugat picături din soluție de amoniac până când culoarea a dispărut. Ce proces a avut loc?",ruginire,topire,evaporare,neutralizare,D,D. neutralizare,ARC-Challenge/test/TIMSS_2011_8_pg102
"De mulți ani, oamenii de știință au găsit fosile în straturi de rocă din toate părțile lumii. În cele din urmă, oamenii de știință au descoperit că multe din straturile de rocă arătau același model, în care fosilele mai vechi erau localizate în straturile de rocă mai adânci și fosile mai tinere erau localizate în straturi mai superficiale. Această descoperire este un exemplu de cum cunoștințele științifice se schimbă atunci când",fosilele sunt păstrate în moduri diferite.,concluziile cu privire la fosile sunt revizuite în întrebări.,fosilele sunt formate în zone diferite.,se examinează noi dovezi fosile.,D,D. se examinează noi dovezi fosile.,ARC-Challenge/test/Mercury_7207550
Nucleul celulei controlează activitatea celulară. Ce sistem corporal îndeplinește o funcție similară la oameni?,sistemul circulator,sistemul nervos central,sistemul osos,sistemul tegumentar,B,B,ARC-Challenge/test/Mercury_7263183
Fluturele albastru din Miami este o specie pe cale de dispariție în sudul Floridei. Care factor a provocat cel mai probabil declinul populației acestui fluture?,creșterea numărului de parcuri,scăderea cantității de apă de mare,creșterea numărului de case construite,scăderea cantității de prădători,C,B,ARC-Challenge/test/Mercury_7131845
"Cele mai probabil, două specii diferite care evoluează dintr-un strămoş comun apar",în decurs de trei generaţii.,pe parcursul unei perioade lungi de timp.,atunci când o specie este suprapopulată.,atunci când există resurse abundente.,B,B,ARC-Challenge/test/Mercury_7107328
Care este cel mai util instrument în investigarea ciclului de viață al fluturelui monarh?,un cuțit ascuțit,o lupă,un șnur lung,un borcan mare cu orificii pentru aer în partea de sus,D,B,ARC-Challenge/test/Mercury_SC_400134
"Ravi, care locuiește în Stow, Massachusetts, dorește să trimită un mesaj prietenului său din India. Care instrument ar fi cel mai PUȚIN util în trimiterea acestui mesaj?",creion,calculator,telefon,radio AM/FM,D,c,ARC-Challenge/test/MCAS_2000_4_30
Ce dispozitiv a furnizat cel mai probabil tehnologia pentru inventarea primului aparat auditiv?,telefonul,microscopul,fonograful,microfonul,A,C. fonograful,ARC-Challenge/test/Mercury_7106698
În ce direcție cresc rădăcinile plantelor?,în direcția umezelii doar,în direcția forței de gravitație doar,în direcția apei și a tracțiunii gravitaționale,în direcția apei și departe de tracțiunea gravitațională,C,(a),ARC-Challenge/test/Mercury_7268328
Un elev amestecă oțet și bicarbonat pentru a-l folosi în modelul unui vulcan. Amestecul face să se simtă localitatea vulcanului rece când este atins. Ce transformare energetică a avut loc?,energie luminoasă transformată în energie termică,energie termică transformată în energie chimică,energie chimică transformată în energie termică,energie chimică transformată în energie luminoasă,B,B,ARC-Challenge/test/Mercury_400699
Ce descrie cel mai bine pielea?,rigidă,flexibilă,fragilă,tare,B,(b),ARC-Challenge/test/Mercury_SC_416168
Care este o resursă regenerabilă?,uleiul,cărbunele,arborii,aluminiul,C,C,ARC-Challenge/test/Mercury_SC_401792
O omidă mănâncă o frunză de stejar. Care dintre cele următoare descrie cel mai bine transferul de energie în această situație?,"Atât omida, cât și frunza câștigă energie.",Energia este transferată de la frunză la omidă.,Descompunătorii din frunză obțin energie de la omidă.,Stejarul câștigă energie când omida mănâncă frunza.,B,B,ARC-Challenge/test/MCAS_2006_9_1
Un pneu de mașină rulează peste o conservă și o zdrobește complet. Care dintre următoarele afirmații este adevărată în ceea ce privește atomii structurii conservei?,Atomii sunt spărțiți.,Atomii sunt aplatizați.,Atomii rămân la fel.,Atomii sunt transformați în alți atomi.,C,B,ARC-Challenge/test/TIMSS_2011_8_pg31
Suprafața oceanului este un mediu mai variat decât adâncurile sale. Care două procese ale ciclului apei cauzează cea mai mare variație a concentrației de sare la suprafața oceanului?,transpirația și precipitația,precipitația și evaporarea,evaporarea și condensarea,condensarea și transpirația,B,B,ARC-Challenge/test/Mercury_417150
Studenții studiază cum temperatura unei substanțe este legată de viteza mișcării moleculare. Care dintre substanțe are moleculele cele mai rapide?,lapte rece,supă caldă,apa care se topește din gheață,aburii care se acumulează din apa fiartă,D,A,ARC-Challenge/test/Mercury_7187863
"În Oceanul Pacific ecuatorial, ascensiunea de la adâncime spre suprafață aduce apă rece bogată în nutrienți și dioxid de carbon dizolvat. În timpul unui eveniment El Niño, ascensiunea slăbește. Acest lucru duce la creșterea temperaturii apelor de suprafață. Care dintre următoarele este cel mai probabil să se întâmple în Oceanul Pacific ecuatorial în timpul unui an El Niño?",scăderea emisiei de dioxid de carbon în atmosferă,creșterea fotosintezei de alge în apele de suprafață,creșterea oxigenului dizolvat în apele de suprafață,scăderea precipitațiilor peste apele oceanului,A,D. scăderea precipitațiilor peste apele oceanului,ARC-Challenge/test/Mercury_416379
"În grădina dvs., doriți să plantați gălbenele în jurul plantelor dvs. de ardei, deoarece ați citit că această floare respinge musculițele albe. Cum puteți testa pentru a vedea dacă gălbenelele chiar resping musculițele albe?",Numărați numărul de musculițe albe de pe ardei înainte și după plantarea gălbenelelor.,Numărați numărul de musculițe albe de pe gălbenelele aproape de ardei.,"Omorîți musculițele albe de pe alte plante din grădină, în afară de ardei.",Puneți musculițe albe pe alte plante din grădină și observați ce se întâmplă.,A,B,ARC-Challenge/test/WASL_2005_8_12
Cum influențează oceanele clima zonei de coastă?,Ele tind să le facă mai calde.,Ele tind să le facă mai reci.,Ele tind să crească intervalul de temperatură.,Ele tind să reducă intervalul de temperatură.,D,A,ARC-Challenge/test/Mercury_7271670
Oamenii folosesc adesea o amestecătură de sare și apă pentru a curăța lentilele de contact. Care afirmație descrie cel mai bine această amestecătură?,Sarea este solventul și apa este solutul.,Sarea este solutul și apa este solventul.,Sarea este solventul și apa este soluția.,Sarea este soluția și apa este solventul.,B,B,ARC-Challenge/test/ACTAAP_2014_7_13
Ce este cauzat de înclinarea Pământului pe axa sa?,ziua și noaptea,vreme furtunoasă,maree înaltă și joasă,schimbările de anotimpuri,D,C. maree înaltă și joasă,ARC-Challenge/test/Mercury_SC_407417
"Încă din anii 1600, oamenii de ştiinţă au observat că continentele păreau să se îmbine ca piesele unui puzzle. Ideea că continentele erau odinioară lipite și au deriva apoi nu a fost pe deplin acceptată. În anii 1940, tehnologia folosită la submarine a condus la dovezi ale mișcării continentale. Această tehnologie a permis oamenilor de știință să facă următoarele?",să explice mecanismul care a cauzat mișcarea continentelor,să considere probele glaciare depășite,să explice dispariția dinozaurilor,să considere improbabil faptul că continentele erau odinioară lipite,A,A,ARC-Challenge/test/Mercury_7127943
Un exemplu de solid care se transformă în lichid este,aburul care se transformă în apă.,apa care se transformă în abur.,gheața care se transformă în apă.,apa care se transformă în gheață.,C,Apă > Abur,ARC-Challenge/test/MCAS_1999_4_26
Cum ai putea determina științific cel mai liniștit loc unde să înveți în școala ta?,Întreabă-ți directorul care este cel mai bun loc pentru a studia.,Cercetează corpul studențesc pentru a vedea unde le place să studieze.,Înregistrează nivelul de decibeli în diferite zone din școală și compară rezultatele.,"Fă ca toată lumea să fie cât mai liniștită posibil, apoi testează nivelurile de decibeli în diferite locuri din școala ta.",C,(a),ARC-Challenge/test/ACTAAP_2007_7_31
Care dintre aceste întrebări nu poate fi răspunsă ştiinţific?,Ce note muzicale pot fi percepute de urechea umană?,Care note muzicale se combină pentru a fi cele mai frumoase?,"Ce frecvenţe pot fi auzite de copii, dar nu şi de adulţi?",Ce frecvenţe pot fi produse de coardele vocale umane?,B,D.,ARC-Challenge/test/Mercury_7270515
Care activitate este un exemplu de obicei sănătos?,mersul cu bicicleta fără cască,fumatul de țigări,purta un pălăriță când ești la soare,mâncatul cu mâinile murdare,C,A. mersul cu bicicleta fără cască,ARC-Challenge/test/NYSEDREGENTS_2015_4_24
Care obiecte din sistemul nostru solar produc lumina proprie?,doar Soarele,Soarele și Luna,"Soarele, Luna și unele planete","Soarele, Luna, unele planete și cometele",A,A,ARC-Challenge/test/MEA_2010_8_1
O reacție exotermă poate fi cel mai bine demonstrată cu un,motor de mașină.,frigider.,tigaie.,sticlă de sticlă.,A,C. tigaie.,ARC-Challenge/test/Mercury_SC_400582
Care piesă de echipament ar fi folosită pentru a măsura volumul de precipitații într-un pluviometru?,balanța cu două tăvițe,cilindru gradat,riglă centimetrică,termometru,B,B,ARC-Challenge/test/Mercury_SC_402985
Ce tip de rocă se formează prin eroziune?,roca igneousă,roca extruzivă,roca sedimentară,roca metamorfică,C,C. roca sedimentară,ARC-Challenge/test/Mercury_SC_400233
De ce udatul plantelor și a ierbii dimineața devine o modalitate de conservare a apei?,Dimineața există întotdeauna mai multă apă.,Cantități mai mici de apă se evaporă dimineața când este mai răcoare.,Apa folosită dimineața poate fi reciclată pentru utilizare după-amiaza.,Iarba poate absorbi apa doar dimineața.,B,B,ARC-Challenge/test/CSZ_2005_5_CSZ10021
O clasă de științe studiază stările materiei. Un grup de elevi îngheață 100 de grame (g) de apă într-un pahar. Un alt grup de elevi topește 50 g de gheață într-un pahar. Care dintre acestea este cel mai probabil să se întâmple la sfârșitul experimentului?,Temperatura ambelor pahare va fi aceeași.,Ambele probe din pahare vor fi în aceeași stare.,Ambele grupuri vor avea aceeași masă cu care au început.,Timpul necesar pentru schimbarea stărilor materiei va fi același.,C,C. Ambele grupuri vor avea aceeași masă cu care au început.,ARC-Challenge/test/Mercury_407097
"Antonia testează proprietățile blocului A. • Ea așează blocul A pe partea superioară a unui bloc metalic încins și apoi atinge blocul A cu degetul. • Ține degetul pe bloc A câteva minute, dar blocul A nu se încălzește deloc. Ce poate concluziona Antonia despre blocul A?",Este un bun conductor.,Este un slab conductor.,Este puternic magnetic.,Nu este magnetic.,B,A,ARC-Challenge/test/LEAP__5_10312
Există o foarte mică schimbare în gravitație în vârful unui munte. Care proprietate ar fi cea mai probabilă să fie mai mică în vârful unui munte?,masa,greutatea,densitatea corpului,temperatura corpului,B,B,ARC-Challenge/test/Mercury_7141610
"Pentru a menține o cutie grea care se deplasează cu viteză constantă pe o podea acoperită cu covoare, o persoană trebuie să exercite în mod continuu o forță asupra cutiei. Această forță este utilizată în principal pentru a depăși care din următoarele forțe?",Rezistența aerului,Greutatea cutiei,Forța de frecare exercitată de podea asupra cutiei,Forța gravitațională exercitată de Pământ asupra cutiei,C,B,ARC-Challenge/test/NAEP_2000_8_S21+4
Un elev pune un obiect pe o rampă și îl lasă să alunece în jos. Elevul afirmă că frecarea este motivul pentru care obiectul se deplasează încet. O altă explicație posibilă pentru mișcarea lentă este că,înclinarea rampei este mică.,suprafața rampei este netedă.,obiectul este rotund și lustruit.,forța gravitatională exercitată asupra obiectului este slabă.,A,A. Frecarea este cauza mișcării lente.,ARC-Challenge/test/Mercury_7082320
Unde are loc CELE MAI RIDICATE rate de evaporare?,râuri,pâraie,estuare,ghețari,C,C,ARC-Challenge/test/Mercury_417137
Care dintre următoarele organe la pești are aceeași funcție ca plămânul uman?,rinichi,inimă,branhii,piele,C,(d) Pielele,ARC-Challenge/test/TIMSS_2003_8_pg80
Care dintre următoarele modificări ar putea înceta activitatea tectonică a Pământului?,Crusta Pământului devine un solid mai rece.,Manta Pământului devine un semiliquid mai cald.,Manta Pământului devine mai rece și solidă.,Nucleul extern al Pământului devine mai cald.,C,D,ARC-Challenge/test/Mercury_7270113
"Care proces este inclus în formarea atât a rocilor metamorfice, cât și a celor sedimentare?",încălzirea,recristalizarea,compactarea,vremea,C,B,ARC-Challenge/test/Mercury_7086695
Un anumit păr de piersică produce piersici care sunt mai rezistente la boli decât alte piersici. Ce metodă ar reproduce aceleași piersici exacte?,folosiți albinele pentru a poleniza florile,reproduceți prin încrucișarea piersicilor de la diferite pomi,creșteți diversitatea în pomul de piersică,asigurați-vă că părul de piersică se reproduce asexuat,D,(d),ARC-Challenge/test/Mercury_7106593
